object_id,cluster,cluster_type
185900,cluster_3,core
185901,cluster_0,outliers
185902,cluster_3,core
185914,cluster_11,core
186684,cluster_11,core
186687,cluster_4,core
187660,cluster_9,core
187701,cluster_0,outliers
187702,cluster_4,core
187733,cluster_3,core
187746,cluster_8,core
187748,cluster_8,core
187749,cluster_8,core
187750,cluster_4,core
187791,cluster_3,core
187794,cluster_4,core
187801,cluster_9,core
187805,cluster_2,weird_cluster
187828,cluster_3,core
187829,cluster_3,core
187854,cluster_3,core
187856,cluster_9,core
187857,cluster_4,core
187858,cluster_9,core
187859,cluster_9,core
187860,cluster_4,core
187863,cluster_1,weird_cluster
187871,cluster_3,core
188533,cluster_3,core
188534,cluster_3,core
188535,cluster_3,core
188536,cluster_9,core
188537,cluster_9,core
188538,cluster_9,core
188539,cluster_9,core
188541,cluster_4,core
188556,cluster_7,core
188563,cluster_4,core
188633,cluster_4,core
188645,cluster_0,outliers
188753,cluster_4,core
188765,cluster_8,core
188777,cluster_9,core
188900,cluster_0,outliers
188908,cluster_11,core
188972,cluster_8,core
188974,cluster_3,core
188976,cluster_3,core
188993,cluster_0,outliers
188994,cluster_11,core
188998,cluster_3,core
190474,cluster_9,core
190547,cluster_4,core
190600,cluster_8,core
190647,cluster_6,core
190648,cluster_3,core
190649,cluster_4,core
190657,cluster_4,core
190732,cluster_10,core
190797,cluster_8,core
191142,cluster_2,weird_cluster
191206,cluster_9,core
191213,cluster_10,core
191218,cluster_9,core
191344,cluster_4,core
191375,cluster_9,core
191583,cluster_3,core
191593,cluster_8,core
191600,cluster_9,core
191636,cluster_9,core
191731,cluster_0,outliers
191733,cluster_4,core
191778,cluster_9,core
191779,cluster_4,core
191780,cluster_11,core
192014,cluster_1,weird_cluster
192034,cluster_6,core
192308,cluster_6,core
192800,cluster_10,core
192801,cluster_9,core
192802,cluster_10,core
192803,cluster_3,core
192810,cluster_9,core
192811,cluster_9,core
192830,cluster_2,weird_cluster
192831,cluster_9,core
192844,cluster_9,core
192854,cluster_9,core
192949,cluster_5,core
193020,cluster_3,core
193062,cluster_11,core
193063,cluster_11,core
193064,cluster_11,core
193077,cluster_11,core
193084,cluster_4,core
193093,cluster_11,core
193109,cluster_3,core
193355,cluster_11,core
193449,cluster_9,core
194228,cluster_10,core
194229,cluster_9,core
194230,cluster_2,weird_cluster
194231,cluster_9,core
194232,cluster_8,core
194233,cluster_9,core
194234,cluster_9,core
194235,cluster_9,core
194236,cluster_9,core
194238,cluster_9,core
194239,cluster_8,core
194243,cluster_2,weird_cluster
194246,cluster_9,core
194251,cluster_9,core
194256,cluster_9,core
194261,cluster_4,core
194262,cluster_0,outliers
194279,cluster_2,weird_cluster
194287,cluster_3,core
194288,cluster_8,core
194289,cluster_9,core
194291,cluster_6,core
194292,cluster_11,core
194293,cluster_9,core
194298,cluster_9,core
194301,cluster_4,core
194303,cluster_4,core
194304,cluster_6,core
194307,cluster_1,weird_cluster
194380,cluster_4,core
194383,cluster_4,core
194390,cluster_4,core
194391,cluster_3,core
194392,cluster_4,core
194395,cluster_2,weird_cluster
194432,cluster_8,core
194433,cluster_3,core
194439,cluster_0,outliers
194471,cluster_0,outliers
194472,cluster_4,core
194475,cluster_6,core
194479,cluster_4,core
194488,cluster_11,core
194582,cluster_8,core
194583,cluster_8,core
194586,cluster_4,core
194587,cluster_8,core
194588,cluster_8,core
194589,cluster_8,core
194590,cluster_6,core
194591,cluster_1,weird_cluster
194595,cluster_9,core
194608,cluster_4,core
194624,cluster_11,core
194632,cluster_11,core
194636,cluster_11,core
194637,cluster_11,core
194639,cluster_11,core
194644,cluster_11,core
194906,cluster_11,core
194960,cluster_4,core
194961,cluster_4,core
194963,cluster_3,core
194967,cluster_2,weird_cluster
195013,cluster_9,core
195021,cluster_4,core
195041,cluster_2,weird_cluster
195127,cluster_1,weird_cluster
195208,cluster_7,core
195209,cluster_7,core
195217,cluster_6,core
195272,cluster_2,weird_cluster
195273,cluster_4,core
195277,cluster_3,core
195302,cluster_2,weird_cluster
195307,cluster_11,core
195499,cluster_3,core
195500,cluster_10,core
195501,cluster_10,core
195741,cluster_3,core
195742,cluster_3,core
195766,cluster_0,outliers
195774,cluster_4,core
195775,cluster_0,outliers
195780,cluster_2,weird_cluster
196343,cluster_2,weird_cluster
196344,cluster_9,core
196359,cluster_10,core
196360,cluster_10,core
196361,cluster_10,core
196544,cluster_3,core
196553,cluster_2,weird_cluster
196567,cluster_10,core
196568,cluster_1,weird_cluster
196601,cluster_3,core
196741,cluster_4,core
197018,cluster_9,core
197219,cluster_4,core
197220,cluster_4,core
197222,cluster_4,core
197223,cluster_4,core
